Amount,Wallet Address,Title,Email
" 1,000,000.00 ",FssGM9Jcu2jq2WMc9p6Ew8y8mzEHsU7DVw3f3AYcfhQZ,Dfl New Year,
" 960,000.00 ",AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,,
" 921,600.00 ",9ZbjGVwvADQ8roWVYXywvut9Thmv5GwtZV2oCtiNuLqS,,
" 884,736.00 ",Cq5DXm9v42ceKwra9L5enGFKtxRujmDz59oCRMzbeM7E,,
" 849,346.56 ",2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,,
" 815,372.70 ",2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,,
" 782,757.79 ",3koLk37wAS18EBcb78Rf9YVR3sW93wEYMkop1bJRzgBw,,
" 751,447.48 ",F9kTBuNEVezYtmJQApyJXsgNekyNfpKYiUynY2g7c9Lq,,
" 721,389.58 ",3qragjibZ8fgNk8DA3AbQaDNuMjrENXLMZfDXMWeDvUp,,
" 692,534.00 ",ALhnZ9aJ5i7nbavs6GKvWYhvFHZ9447zJddWWcSTkMxp,,
" 664,832.64 ",3KBpcftPr2yFjBkpzGKh1HcWKLQRpcFTYo9xfv8T19Nj,,
" 638,239.33 ",2HegnJrgwEs5zNCkbZHwGeHMUghLu6Dku2iEM94uMRzZ,,
" 612,709.76 ",BNfZ4gsiRFY6g6nyKbRNKuABQUvc3EW1uJ4MxH57qbKg,,
" 588,201.37 ",FQbxWyXZrDnxD9dTYYSVRmddzuSa14GxCsiAuRirUpgE,,
" 564,673.31 ",4fMd2cbWoxxHmPXibVy2jF2irf2EYT7csM6H511wP6Me,,
" 542,086.38 ",5aAPkEiAUxHRUuB59kh8FNitCqQTzJmSRBRT34PDajfS,,
" 520,402.92 ",93fEEKfEuWKv5qgMGjNueW3ZpKLUipYyZ4zUBFbBrywy,,
" 499,586.81 ",FZXcdzpfzcUMiHC3cVJaCDr2SPf5vFoiXBN3uvz7ud5e,,
" 479,603.34 ",EGiJCaMqQazuWAM9Xd9BiHMJvgsNmWRd8QzFFhT4pmUF,,
" 460,419.20 ",2BYcTnRET4xvTNMBRP1oDXEggmcbrFtpjDUV3YinfD5m,,
" 442,002.43 ",AMqzMqDV5XibHD6ewRik5MGmwzCwpoAMRCq8vyetxRby,,
" 424,322.34 ",4jXo9FKmzv16UoHsv8XcgscABrD1VmVV7YrUzo2mXwBh,,
" 407,349.44 ",FXiUDdGNMdSDEPcFbjzWUCXUMKT9Ai9hgfuBKeoiQN3g,,
" 391,055.47 ",E3zN6kwwQiq7PTSV9vMm8MB6tPCiKu3zUKcZ1Ngi9ni1,,
" 375,413.25 ",C28BQHWyLtLJQYQFKLfoNKPtygk6Q18goR168iZ1b9xv,,
" 360,396.72 ",67KwKAa7up54Tdh3sKuKK57dBU5cF5qyMG1ZsToXQyFu,,
" 345,980.85 ",52GjEMyzLzDetEzHrFij3AFh36EaHWKLAuV5sqjEtiJX,,
" 332,141.61 ",6LC79WWC1q5MfnpSvyfqcFDrKESquEzkiFufdswcKiSP,,
" 318,855.95 ",HXovyrg9cZvSMuNW9uPm1sHmLeKtedQcPvrQce3qgHeC,,
" 200,000.00 ",5LfCTYxVQKkjhPeUrYjZhFdVyAguAsVKM4Mq5mJdUfHy,,
" 200,000.00 ",E7E9WewcokpvBi8unYept7Xi1zHizJXDviPi5vcF5uZP,,
" 200,000.00 ",86Q4v6WD77rcSLkxrTUmGMDEYT5gqWoaoxBnZmV2cCbA,,
" 200,000.00 ",9vMd1mMR9ZV3PcgjuT3zNPubUHkt2QXiNmZ2xZhRhc6a,,
" 200,000.00 ",2U6oLVVxRknFT83CS2U48XGFXRyCypK7FNqbngEUBnrh,,
" 200,000.00 ",CfUFT2BjTyC5ooYjDFUcAr9TgyXr3BtmDDipCEC1PdTW,,
" 200,000.00 ",FKj4Fetvcahoj94ESKPKYPQ5hFTVMEGB3cT88ZMBD9Tm,,
" 200,000.00 ",FZLEkUG4fqVYv9tEWNzmTHTdpoXXmSGMi9abwJxSCA15,,
" 200,000.00 ",AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,,
" 200,000.00 ",hcZrNh2P4VRMTHGEsfPrP1Fg6P4yJUqCxuhrRVqqiEx,,
" 200,000.00 ",B6PDwbcVWLx4NgZt8QQARpSPe4LQtYuhmLVJV7phVrEx,,
" 200,000.00 ",7tyven3oZc81b2TS6LXwYkKok933b7nRAFB74dQiWXmo,,
" 200,000.00 ",5EfTHngPDgv9EordBzixNMNT9hJWAAvbzMoYdi7iNav2,,
" 200,000.00 ",FgQuDXxgUJu1yyhJyPSPUS6Kh22uVmCefB5uycLziQzL,,
" 200,000.00 ",9ZQRDQyzvX1WAn9VLhKXa1AFigpH2tJoEJyHdTzVcVQu,,
" 200,000.00 ",92pgcXNFM3KoHLrqmbSScJfNy2B8R8RKGnpH8DUJvQsq,,
" 200,000.00 ",C57WkPritXJaSnQwbmw4jws4C6dDBePjVV9dwcY5NWqq,,
" 200,000.00 ",7NC8Y4cKtNQHx3dXubEUXArR3zwVpPU2pbarGEcFYqoq,,
" 200,000.00 ",8mCpEcwBVhZke6MtjrQ8b3nMKd1VZRH4Ldxh4Ydpm1tJ,,
" 200,000.00 ",5rTRUS8J94T4d4Y5yW9nPvT9oqJJNBrNmbRV7qC3dSci,,
" 100,000.00 ",B47o7agrPKpp28LEbDBBgaZxHx4ra3qr45kmQ3ZsiBQm,,
" 100,000.00 ",CLvoorVXyX244AGDLrRU1gXSJEv9E8btyLvRhmSh7KXi,,
" 100,000.00 ",2oRcws4z6hMxMrLLP8tT2ixejUdfRfrNdg3cppUNbmSq,,
" 100,000.00 ",9AuQivUAFvyAQ91FTFzk5wkRSYVThTSFWxCfc5L95Xmt,,
" 100,000.00 ",FzCU2eXhuixnKohUUrGYC64T27Qz7ZrdCwKE8Czd8B7e,,
" 100,000.00 ",39KvrNX9tDKyYoRu8DqBLNbStR4ejMU9HU5HtjUjzQsW,,
" 100,000.00 ",C8FWu8bWB8w2HKYKp4kKjHYif8z9mPTUgDjQdLJzju9S,,
" 100,000.00 ",DDEUwnU6Ko7LJiYBSN9XKv7GyowXv5DW2GR4A7v96t5a,,
" 100,000.00 ",9oeCFus3WC5mXtRTaMYY7GSFCf8aNcAyhbHpgm2tKQz7,,
" 100,000.00 ",H4ySyPFjXshAWvZ2mMUyLGmVVB3NgcZUG7tcNFxNF66v,,
" 100,000.00 ",DfTqPf6v4i7HuZvmRix2aeTGDapspvgBvNwLKP5JhvGE,,
" 100,000.00 ",9V1f9fqAxHCBGMotQFq38tDk8PZxMbmgKDoqLeZdqYDK,,
" 100,000.00 ",Cj73sNP45XLpqSPSNQaMmVrsstNYmB4kKuBGpYKS5kBT,,
" 100,000.00 ",BuE7uUd9a8o4Tsw8v11nrAnFQgSSXF2WjzeZtZYZ13h1,,
" 100,000.00 ",7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,,
" 100,000.00 ",9fGMD1yQHNu5TfVsJRo7x9kCBTgqx9o4eRFcPuZfcr1c,,
" 100,000.00 ",CWGHtx5DTUNCjb5b4jgyu1x4Bi9Jc1Vkm23D9HnzFjcQ,,
" 100,000.00 ",728oVFv17aWhzjrnyZ6X5kLMdy3Zu2ngUmoVLNHcT4Zf,,
" 100,000.00 ",6YkfVzrzEcJbg6rpHZ8QYvYdM9RSv6iW69GPoHnJxpKv,,
" 100,000.00 ",ABbVp7NFR7mwtJ9z3uteJi15gxKePjFtSFsQXA6j2ixP,,
" 100,000.00 ",FjGgqcpCNRcksRzMHRimgHsvCLr5EkCmrkRWTp9CeMAr,,
" 100,000.00 ",FgXxvngJSZAbdiWokN38xc6koixx6QazJfHJ5fvDwmNH,,
" 100,000.00 ",7VzRBspssaxkwCXSvnMfT6KM1LRk9CvYShcWAmGYuRg5,,
" 100,000.00 ",6kU22XxT98yXgtUhgVJE8gacxKVUCVLd5r81doeyoae3,,
" 100,000.00 ",3thr5ofhZRDpPDd4BYMEi1RXUwkeJPyLTw7Qnq1Z6aZ1,,
" 100,000.00 ",5iBUcr1g9RvkMpTDRxfCtHH1fKuaCKn8Bxgo9swhRBGG,,
" 100,000.00 ",8aApPZdTCpzySBFnP6GBsXkk4KDjjtjFL2XsZhnaE2Tp,,
" 100,000.00 ",9vuVpV8XjY7WTd9deiX3XKq53eZbtnaE8J3PZHnuSkiw,,
" 100,000.00 ",ExHaaJBntmesZrwWsvTXB8CyRehGb7QfMQgXkSQECoxk,,
" 100,000.00 ",2kMXwrAbo6DMKGzzyToTYTdVYPsqKtn8wq2UJDM5M7nE,,
" 100,000.00 ",9obQiVbynaS55rQRJHVW9uDEwQ8oWFesKzazBb2Lu2gD,,
" 100,000.00 ",8S8kfQrqyAMqJkB9ZcJKbHgHwFBYMhfCu35n3wvF9vZh,,
" 100,000.00 ",CnnGaFbJ85E3UTfzm2gqQuGzkK3W3o2KkipKFemBEtnT,,
" 100,000.00 ",EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,,
" 100,000.00 ",4JCZUq72QyY5k2rNnaz6VJAYKcR5TpRksQ28gHisxntt,,
" 100,000.00 ",4rU9NTDjYsK6VkMLc4SWfbsbLeyjaHRYers27R6wa9GL,,
" 100,000.00 ",2xj4uMssAWAxN6ibx8bUMQhWRSTwLSgEjB2QymdJCqLX,,
" 100,000.00 ",FzuEfP8GHEVRcTdAFvu5Psxex77ESmvLHwZZZbTTDVb9,,
" 100,000.00 ",3D9VAFYou1uWdFxSFBj3KzPTBXpXVNTttX1BZJ2UQP4a,,
" 100,000.00 ",9hQ4DrKRv15VimW76ve5ZFb6AA3Q6bJjn8SZGfZC93xx,,
" 100,000.00 ",6iXh5CdA6EGvRLKn1UFe6GRvUjFYxXTQZpbgvM8F3H96,,
" 100,000.00 ",3RuWNCp2U8NkdHH5tP3P5V9Y8EZN8rMEZQHuQ71F2G1T,,
" 100,000.00 ",J7de8GXfrvkKDwdsp9ZC8zPAedFQLLwrd6PedjuWb8is,,
" 100,000.00 ",4QUZBp5RvB8jzyXmeRvUqfgrvikf3R43VkRYssyxPBLh,,
" 100,000.00 ",13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,,
" 100,000.00 ",6VphTGR3svs2WensjYHEyBrZEj8Au7xVsA4RWeJQ9kwp,,
" 100,000.00 ",BdgPMPbN5DVpRni9WR962dxxxDB88NqjAfZg1uJhCa3X,,
" 100,000.00 ",8qFABfwHQQJAg4b5W62LekVCTvR2GXgVxMLnPomfUeKu,,
" 100,000.00 ",9VWAi29Sed85gERDQWYCovM7UMN7d2pL2wsj8oFD6sRe,,
" 100,000.00 ",B7VYvbo8qFEfisDD2izdssXoKowWi8pc87wu2vcgQ2cM,,
" 100,000.00 ",8zpK86dHcDsu19KGt12CoprL6ECgCLQ1RNRxRixYHhEo,,
